ORGANIZATION	AWARDS	FUNDING	CITY	STATE
"MANZANITA PHARMACEUTICALS, INC."	1	288301	WOODSIDE	CA
"MAPP BIOPHARMACEUTICAL, INC."	3	5735312	SAN DIEGO	CA
MARINE BIOLOGICAL LABORATORY	24	5829819	WOODS HOLE	MA
MARKER GENE TECHNOLOGIES	2	701351	EUGENE	OR
MARQUETTE UNIVERSITY	12	2791393	MILWAUKEE	WI
MARSHALL UNIVERSITY	4	4065382	HUNTINGTON	WV
MARSHFIELD CLINIC RESEARCH FOUNDATION	2	1394300	MARSHFIELD	WI
MARTINGALE RESEARCH CORPORATION	1	289453	Plano	TX
MARY IMOGENE BASSETT HOSPITAL	1	72001	COOPERSTOWN	NY
"MASONIC MEDICAL RESEARCH LABORATORY, INC"	1	416500	UTICA	NY
MASSACHUSETTS EYE AND EAR INFIRMARY	56	20413920	BOSTON	MA
MASSACHUSETTS GENERAL HOSP	783	323961795	BOSTON	MA
MASSACHUSETTS GENERAL HOSPITAL	5	15528685	BOSTON	MA
MASSACHUSETTS INSTITUTE OF TECHNOLOGY	234	94736982	CAMBRIDGE	MA
"MASSTECH, INC."	1	150000	COLUMBIA	MD
"MATERIA, INC."	1	543953	PASADENA	CA
"MATERIALS DEVELOPMENT, INC."	1	138932	ARLINGTON HEIGHTS	IL
"MATHEMATICA POLICY RESEARCH, INC."	1	608770	PRINCETON	NJ
MATTEK CORPORATION	4	1072239	ASHLAND	MA
"MAX BIOPHARMA, INC."	1	147188	LOS ANGELES	CA
MAX PLANCK FLORIDA CORPORATION	8	2621893	JUPITER	FL
"MAXWELL SENSORS, INC."	1	492274	SANTA FE SPRINGS	CA
MAYO CLINIC JACKSONVILLE	32	10604497	JACKSONVILLE	FL
MAYO CLINIC ARIZONA	22	8461445	SCOTTSDALE	AZ
MAYO CLINIC ROCHESTER	376	192248756	ROCHESTER	MN
"MBC RESEARCH, INC."	2	319387	AURORA	CO
"MBIO DIAGNOSTICS, INC."	3	2408275	BOULDER	CO
"MC3, INC."	3	635979	ANN ARBOR	MI
MCLEAN HOSPITAL	80	24627722	BELMONT	MA
"MEDARRAY, INC."	1	994755	ANN ARBOR	MI
"MEDCHEM PARTNERS, LLC"	1	147729	Lexington	MA
MEDGAR EVERS COLLEGE	1	199873	NEW YORK	NY
MEDGENE LABS	1	135356	BROOKINGS	SD
"MEDIA REZ, LLC"	1	150000	WASHINGTON	DC
MEDICAL COLLEGE OF WISCONSIN	190	88920052	MILWAUKEE	WI
"MEDICAL CYBERWORLDS, INC."	1	649030	VERONA	WI
"MEDICAL IMAGING APPLICATIONS, LLC"	1	347854	CORALVILLE	IA
MEDICAL TECHNOLOGY AND PRACTICE PATTERNS	1	169283	BETHESDA	MD
MEDICAL UNIVERSITY OF SOUTH CAROLINA	259	78132255	CHARLESTON	SC
"MEDICASAFE, INC."	1	495460	NEW YORK	NY
"MEDICATIONS DISCOVERY TEXAS, INC."	2	859246	HOUSTON	TX
"MEDICON, INC."	1	1022841	Setauket	NY
"MEDIKINE, INC."	1	239875	MENLO PARK	CA
"MEDIOMICS, LLC"	1	969770	SAINT LOUIS	MO
"MEDSOCKET OF MISSOURI, INC."	1	142500	COLUMBIA	MO
MEDSTAR RESEARCH INSTITUTE	4	1859387	HYATTSVILLE	MD
"MEE PRODUCTIONS, INC."	1	574591	PHILADELPHIA	PA
MEHARRY MEDICAL COLLEGE	32	20382677	NASHVILLE	TN
"MEI RESEARCH, LTD"	1	999529	ST. LOUIS PARK	MN
MEMORIAL HOSPITAL OF RHODE ISLAND	3	1342749	PAWTUCKET	RI
MEMORIAL HOSPITAL OF SOUTH BEND	1	710588	SOUTH BEND	IN
"MERCATOR MEDSYSTEMS, INC."	2	1173555	SAN LEANDRO	CA
MERCER UNIVERSITY MACON	3	1150791	MACON	GA
"MESO SCALE DIAGNOSTICS, LLC"	2	513957	Rockville	MD
METACLIPSE THERAPEUTICS CORPORATION	1	144759	ATLANTA	GA
"METALLOPHARM, LLC"	1	300311	DELAWARE	OH
METHODIST HOSPITAL RESEARCH INSTITUTE	28	11895351	HOUSTON	TX
METROHEALTH MEDICAL CENTER	1	249734	CLEVELAND	OH
METROPOLITAN STATE COLLEGE OF DENVER	1	173796	DENVER	CO
MGH INSTITUTE OF HEALTH PROFESSIONS	2	749892	BOSTON	MA
MIAMI UNIVERSITY OXFORD	9	2609057	OXFORD	OH
"MICA II, LLC"	1	343536	Metairie	LA
MICHIGAN PUBLIC HEALTH INSTITUTE	1	831761	OKEMOS	MI
MICHIGAN STATE UNIVERSITY	147	49054045	EAST LANSING	MI
MICHIGAN TECHNOLOGICAL UNIVERSITY	5	1005192	HOUGHTON	MI
"MICRO VIDE, LLC"	1	207628	COLUMBIA	SC
"MICROBIOTIX, INC"	13	7324204	WORCESTER	MA
"MICROBRIGHTFIELD, INC."	4	1520860	WILLISTON	VT
"MICROTRANSPONDER, INC."	2	1441304	AUSTIN	TX
"MIDDLE PEAK MEDICAL, INC."	1	179124	PALO ALTO	CA
MIDDLE TENNESSEE STATE UNIVERSITY	1	242896	MURFREESBORO	TN
MIDDLEBURY COLLEGE	1	253943	MIDDLEBURY	VT
MIDWEST RESEARCH INSTITUTE	6	9436064	KANSAS CITY	MO
MIDWESTERN UNIVERSITY	1	459396	DOWNERS GROVE	IL
MILWAUKEE SCHOOL OF ENGINEERING	2	432508	MILWAUKEE	WI
MINITUBE OF AMERICA	1	1000000	VERONA	WI
"MINNEAPOLIS MEDICAL RESEARCH FDN, INC."	11	13931885	MINNEAPOLIS	MN
MIRIAM HOSPITAL	42	16771228	PROVIDENCE	RI
"MIRTECH, INC."	1	249183	BROCKTON	MA
MISSISSIPPI STATE UNIVERSITY	11	4558436	MISSISSIPPI STATE	MS
MISSOURI BAPTIST MEDICAL CENTER	1	630477	ST. LOUIS	MO
"MISSOURI BREAKS RESEARCH, INC."	2	523355	TIMBER LAKE	SD
MISSOURI STATE UNIVERSITY	2	425511	SPRINGFIELD	MO
MISSOURI UNIVERSITY OF SCIENCE & TECHNOL	1	182632	ROLLA	MO
"MISSOURI VALLEY CANCER CONSORTIUM, INC."	1	554200	OMAHA	NE
MIT LINCOLN LABORATORY	1	235000	LEXINGTON	MA
"MIXAMO, INC."	1	245536	SAN FRANCISCO	CA
"MJ DATA CORPORATION, LTD"	1	562992	Smithfield	RI
"MODULAR BIONICS, INC."	1	264378	Santa Ana	CA
"MODULATED IMAGING, INC."	1	735310	IRVINE	CA
"MODULATION THERAPEUTICS, INC."	1	288301	RUSKIN	FL
"MOLECULAR EXPRESS, INC."	1	150501	AMES	IA
"MOLECULAR EXPRESS, INC."	5	2045840	RANCHO DOMINGUEZ	CA
"MOLECULAR NEUROIMAGING, LLC"	1	813115	NEW HAVEN	CT
"MOLECULAR SENSING, INC."	1	604575	Nashville	TN
"MOLECULAR TARGETING TECHNOLOGIES, INC."	2	1078417	WEST CHESTER	PA
MONELL CHEMICAL SENSES CENTER	30	6380769	PHILADELPHIA	PA
MONTANA CANCER CONSORTIUM	1	447692	BILLINGS	MT
MONTANA STATE UNIVERSITY - BOZEMAN	31	13525792	BOZEMAN	MT
MONTCLAIR STATE UNIVERSITY	1	139734	MONTCLAIR	NJ
"MONTEFIORE MEDICAL CENTER (BRONX, NY)"	3	803826	NEW YORK	NY
MONTSHIRE MUSEUM OF SCIENCE	1	133817	NORWICH	VT
MOREHEAD STATE UNIVERSITY	2	598425	MOREHEAD	KY
MOREHOUSE COLLEGE	3	1253331	ATLANTA	GA
MOREHOUSE SCHOOL OF MEDICINE	40	27800365	ATLANTA	GA
MORGAN STATE UNIVERSITY	4	1610712	BALTIMORE	MD
"MORGRIDGE INSTITUTE FOR RESEARCH, INC."	4	2345291	MADISON	WI
MORPHONIX	1	600000	SAUSALITO	CA
"MORPHORMICS, INC."	1	318869	DURHAM	NC
MOSAIC LOFT	1	610791	BOSTON	MA
"MOUND LASER AND PHOTONICS CENTER, INC."	1	96572	MIAMISBURG	OH
MOUNT DESERT ISLAND BIOLOGICAL LAB	6	7394953	SALSBURY COVE	ME
MOUNT SINAI MEDICAL CENTER (MIAMI BEACH)	1	467134	MIAMI BEACH	FL
MOUNT SINAI SCHOOL OF MEDICINE	452	197480383	NEW YORK	NY
MSP CORPORATION	1	239408	SHOREVIEW	MN
"MULTIMERIC BIOTHERAPEUTICS, INC."	1	300000	LA JOLLA	CA
"MURTY PHARMACEUTICALS, INC."	1	100000	LEXINGTON	KY
MUSEUM OF SCIENCE AND INDUSTRY	1	246366	CHICAGO	IL
"MUZZY LANE SOFTWARE, INC."	2	306784	NEWBURYPORT	MA
"MY COVERAGE PLAN, INC."	1	399407	MADISON	WI
"MYATT AND JOHNSON, INC."	1	490789	Miami Beach	FL
"MYNOSYS CELLULAR DEVICES, INC."	1	858874	ALBANY	CA
"MYTECH MEDICAL, INC."	1	200000	POWAY	CA
"MZ DIAGNOSTICS, INC."	1	224697	NEW HAVEN	CT
"N&N SCIENTIFIC, INC."	1	1000000	POTOMAC	MD
"NAJIT TECHNOLOGIES, INC."	1	994154	Beaverton	OR
"NANO TERRA, INC."	1	299948	CAMBRIDGE	MA
NANOBIO CORPORATION	1	5516166	ANN ARBOR	MI
"NANOCELLECT BIOMEDICAL, INC."	3	871292	SAN DIEGO	CA
"NANOCOMPOSIX, INC."	1	997267	SAN DIEGO	CA
"NANOCYTOMICS, LLC"	2	1479610	EVANSTON	IL
"NANODIAGNOSTIC TECHNOLOGY, LLC"	1	99999	KANNAPOLIS	NC
"NANOHMICS, INC."	1	279851	AUSTIN	TX
"NANOIMAGING SERVICES, INC."	1	592927	LA JOLLA	CA
"NANOMEDICA, LLC"	1	350000	WINSTON-SALEM	NC
"NANOMETICS, LLC"	1	1367340	NEW YORK	NY
"NANONERVE, INC."	1	663315	Berkeley	CA
"NANOPROBES, INC."	1	237184	YAPHANK	NY
"NANOSYN, INC."	1	350000	SANTA CLARA	CA
"NANOTHERAPEUTICS, INC."	1	996995	ALACHUA	FL
"NANOVA, INC."	1	625683	COLUMBIA	MO
"NAPROGENIX, INC"	2	1516089	Lexington	KY
NATHAN S. KLINE INSTITUTE FOR PSYCH RES	18	8266547	ORANGEBURG	NY
NATIONAL ACADEMY OF SCIENCES	14	1215592	WASHINGTON	DC
NATIONAL BUREAU OF ECONOMIC RESEARCH	29	15869026	CAMBRIDGE	MA
NATIONAL CENTER ON ADDICTION/SUB ABUSE	2	345170	NEW YORK	NY
NATIONAL COLLEGE OF NATURAL MEDICINE	1	206044	PORTLAND	OR
NATIONAL DEVELOPMENT & RES INSTITUTES	19	8846291	NEW YORK	NY
National Disease Research Interchange	1	1373136	PHILADELPHIA	PA
NATIONAL HEALTH PROMOTION ASSOCIATES	1	149534	WHITE PLAINS	NY
NATIONAL INSTITUTE OF SCIENCE	1	459895	WASHINGTON	DC
NATIONAL JEWISH HEALTH	52	26427575	DENVER	CO
NATIONAL OPINION RESEARCH CENTER	19	34574446	CHICAGO	IL
NATIONAL PARTNERSHIP/ENVIRONMNTL/TECH/ED	2	791159	SOUTH PORTLAND	ME
NATIONAL PKU ALLIANCE	1	12000	TOAMAHAWK	WI
NATIONAL REHABILITATION HOSPITAL	1	131757	WASHINGTON	DC
NATURE TECHNOLOGY CORPORATION	1	247934	LINCOLN	NE
NAVAL MEDICAL RESEARCH UNIT NUMBER SIX	1	174800	SILVER SPRING	MD
"NAVIDEA BIOPHARMACEUTICALS, INC."	2	410638	DUBLIN	OH
"NAVIGEN, INC."	6	2080215	SALT LAKE CITY	UT
NEMOURS CHILDREN'S CLINIC	3	1119851	JACKSONVILLE	FL
"NEMUCORE MEDICAL INNOVATIONS, INC."	2	884791	WELLESLEY	MA
"NEOGENE BIOSCIENCES, LLC"	1	192240	CLEVELAND	OH
"NEOSTEM, INC."	3	962937	NEW YORK	NY
"NERX BIOSCIENCES, INC."	1	131247	INDIANAPOLIS	IN
"NESHER TECHNOLOGIES, INC."	3	474766	LOS ANGELES	CA
"NETWORK BIOSYSTEMS, INC."	1	1000000	Waltham	MA
"NEURO DEVICES, INC."	2	1666360	MINNEAPOLIS	MN
"NEUROBEHAVIORAL RESEARCH, INC."	1	113651	HONOLULU	HI
"NEUROBIOTEX, INC."	1	144614	GALVESTON	TX
"NEUROCOG TRIALS, INC."	1	568573	DURHAM	NC
"NEURODX DEVELOPMENT, LLC"	3	1795533	Bensalem	PA
"NEUROENABLING TECHNOLOGIES, INC."	2	552618	LOS ANGELES	CA
"NEUROGENETIC PHARMACEUTICALS, INC."	1	999911	SAN DIEGO	CA
NEUROINDX INC.	1	580205	Signal Hill	CA
NEURONEXUS TECHNOLOGIES	1	1077098	ANN ARBOR	MI
"NEUROP, INC."	2	1340913	ATLANTA	GA
NEUROPSYCHIATRIC RESEARCH INSTITUTE	3	917445	FARGO	ND
"NEUROSCOUTING, LLC"	1	168985	Cambridge	MA
"NEUROSIGMA, INC."	2	644748	LOS ANGELES	CA
NEUROTARGETING SYSTEMS	1	327520	BROOKLINE	MA
"NEUROTARGETING, LLC"	1	899606	NASHVILLE	TN
"NEUROTREK, INC."	1	351977	LOS GATOS	CA
"NEUROVISION IMAGING, LLC"	1	150874	SACRAMENTO	CA
"NEUROWAVE SYSTEMS, INC."	1	357616	CLEVELAND HEIGHTS	OH
"NEVUS OUTREACH, INC."	1	30000	BARTLESVILLE	OK
"NEW ENGLAND BIOLABS, INC."	7	2411136	Ipswich	MA
NEW ENGLAND COLLEGE OF OPTOMETRY	4	643071	BOSTON	MA
"NEW ENGLAND RESEARCH INSTITUTES, INC."	11	29154452	WATERTOWN	MA
NEW HANOVER REGIONAL MEDICAL CENTER	2	672914	WILMINGTON	NC
"NEW HEALTH SCIENCES, INC."	1	195127	BETHESDA	MD
NEW JERSEY INSTITUTE OF TECHNOLOGY	5	1135092	NEWARK	NJ
"NEW MEXICO CONSORTIUM, INC."	1	174626	LOS ALAMOS	NM
NEW MEXICO STATE DEPT OF HUMAN SERVICES	1	168581	SANTA FE	NM
NEW MEXICO STATE UNIVERSITY LAS CRUCES	15	7947900	LAS CRUCES	NM
NEW YORK ACADEMY OF MEDICINE	1	624878	NEW YORK	NY
NEW YORK ACADEMY OF SCIENCES	3	53000	NEW YORK	NY
NEW YORK BLOOD CENTER	12	5713281	NEW YORK	NY
NEW YORK CITY HEALTH & HOSPITALS CORP	2	619876	NEW YORK	NY
NEW YORK EYE AND EAR INFIRMARY	1	393420	NEW YORK	NY
NEW YORK INST OF TECHNOLOGY	3	560047	OLD WESTBURY	NY
NEW YORK MEDICAL COLLEGE	18	7197334	VALHALLA	NY
NEW YORK STATE PSYCHIATRIC INSTITUTE	98	45962566	NEW YORK	NY
NEW YORK STRUCTURAL BIOLOGY CENTER	3	4921473	NEW YORK	NY
NEW YORK UNIVERSITY	140	46070017	NEW YORK	NY
NEW YORK UNIVERSITY SCHOOL OF MEDICINE	472	174108397	NEW YORK	NY
NEW YORK-PRESBYTERIAN HOSPITAL	1	29897	NEW YORK	NY
"NEWOMICS, INC"	2	525000	Emeryville	CA
"NEWPATH LEARNING, LLC"	1	402198	VICTOR	NY
"NEXGENIA, INC."	1	503079	REDMOND	WA
"NEXIMMUNE, INC."	1	288268	GAITHERSBURG	MD
"NICOLALDE R AND D, LLC"	1	142612	WEST LEBANON	NH
"NIMBIC SYSTEMS, INC."	2	369221	STAFFORD	TX
"NITRICGEN, INC."	1	259536	Madison	WI
NONAGEN BIOSCIENCE CORPORATION	1	216710	Jacksonville	FL
"NONINVASIX, INC."	2	361152	GALVESTON	TX
"NOOM, INC."	1	343684	NEW YORK	NY
NORFOLK STATE UNIVERSITY	2	196555	NORFOLK	VA
NORTH AMERICAN ASSN/CENTRAL CANCER REG	2	720000	SPRINGFIELD	IL
NORTH CAROLINA AGRI & TECH ST UNIV	6	1409778	GREENSBORO	NC
NORTH CAROLINA CENTRAL UNIVERSITY	8	3751012	DURHAM	NC
NORTH CAROLINA STATE UNIVERSITY RALEIGH	69	17366647	RALEIGH	NC
NORTH DAKOTA STATE UNIVERSITY	7	4551289	FARGO	ND
NORTHEAST OHIO MEDICAL UNIVERSITY	20	5924800	ROOTSTOWN	OH
NORTHEASTERN ILLINOIS UNIVERSITY	1	132324	CHICAGO	IL
NORTHEASTERN UNIVERSITY	53	22360166	BOSTON	MA
NORTHERN ARIZONA UNIVERSITY	6	3613581	FLAGSTAFF	AZ
NORTHERN CALIFORNIA INSTITUTE/RES/EDU	47	24887721	SAN FRANCISCO	CA
NORTHERN ILLINOIS UNIVERSITY	2	534665	DE KALB	IL
NORTHERN KENTUCKY UNIVERSITY	1	311420	HIGHLAND HEIGHTS	KY
NORTHSHORE UNIVERSITY HEALTHSYSTEM	8	2995697	EVANSTON	IL
NORTHSIDE HOSPITAL ATLANTA	1	103500	ATLANTA	GA
"NORTHWEST MEDIA, INC."	3	1393715	EUGENE	OR
NORTHWEST PORTLAND AREA INDIAN HLTH BD	1	558157	PORTLAND	OR
NORTHWESTERN HEALTH SCIENCES UNIVERSITY	2	277607	BLOOMINGTON	MN
NORTHWESTERN UNIVERSITY	133	56490835	EVANSTON	IL
NORTHWESTERN UNIVERSITY AT CHICAGO	460	176604480	CHICAGO	IL
"NORTIS, INC."	1	299986	GIG HARBOR	WA
"NORWELL, INC."	1	976943	HOUSTON	TX
NOVA SOUTHEASTERN UNIVERSITY	8	1920033	FORT LAUDERDALE	FL
"NOVAFLUX TECHNOLOGIES, INC."	1	999999	PRINCETON	NJ
"NOVAPEUTICS, LLC"	1	251346	PHILADELPHIA	PA
"NOVARTIS VACCINES AND DIAGNOSTICS, INC."	1	2186845	CAMBRIDGE	MA
"NOVASTERILIS, INC."	1	517818	LANSING	NY
"NOVATARG, INC."	2	731339	DURHAM	NC
"NOVELMED THERAPEUTICS, INC."	4	1527089	Cleveland	OH
"NOVERATECH, LLC"	2	463911	LOUISVILLE	KY
"NOVION TECHNOLOGIES, INC."	1	349219	SPOKANE	WA
"NOVOBIOTIC PHARMACEUTICALS, LLC"	2	1299624	CAMBRIDGE	MA
"NOVOMEDIX, INC."	2	927615	SAN DIEGO	CA
"NSABP FOUNDATION, INC."	4	9681783	PITTSBURGH	PA
"NURIX, INC."	1	300000	SAN FRANCSICO	CA
"NUTRABIOTIX, LLC"	1	1281780	WEST LAFAYETTE	IN
NY SOCIETY/PREVENTION/CRUELTY/CHILDREN	2	282114	NEW YORK	NY
"NYMIRUM, INC."	1	244585	ANN ARBOR	MI
"OAI, INC."	1	1401524	CHICAGO	IL
OAK CREST INSTITUTE OF SCIENCE	1	440979	PASADENA	CA
OAKLAND UNIVERSITY	6	1998149	ROCHESTER	MI
OAKWOOD COLLEGE	1	271067	HUNTSVILLE	AL
OASIS DIAGNOSTICS CORPORATION	1	733850	VANCOUVER	WA
OASIS PHARMACEUTICALS	1	304237	LEXINGTON	MA
"OCEAN NANOTECH, LLC"	1	193077	SPRINGDALE	AR
"OCEAN STATE RESEARCH INSTITUTE, INC."	1	2006819	PROVIDENCE	RI
OCHSNER CLINIC FOUNDATION	4	880787	NEW ORLEANS	LA
"OCT MEDICAL IMAGING, INC."	2	1237009	Irvine	CA
"OCULAR PROTEOMICS, LLC"	1	722083	TOWSON	MD
Ohio State University	362	131126886	COLUMBUS	OH
OHIO UNIVERSITY ATHENS	9	2429589	ATHENS	OH
OHIOHEALTH RESEARCH INSTITUTE	1	310474	COLUMBUS	OH
OKLAHOMA MEDICAL RESEARCH FOUNDATION	29	25126551	OKLAHOMA CITY	OK
OKLAHOMA STATE UNIVERSITY STILLWATER	9	5556247	STILLWATER	OK
OLD DOMINION UNIVERSITY	9	2091680	NORFOLK	VA
"OLFACTOR LABORATORIES, INC."	1	180636	RIVERSIDE	CA
"OLIGOMERIX, INC"	1	903675	NEW YORK	NY
OLIVE VIEW-UCLA EDUCATION AND RES INST	1	674561	SYLMAR	CA
"OMADA HEALTH, INC."	1	195660	SAN FRANCISCO	CA
"OMEGA OPTICS, INC."	1	500000	AUSTIN	TX
OMEROS CORPORATION	2	865534	SEATTLE	WA
"OMICIA, INC."	1	781754	EMERYVILLE	CA
"OMICRON BIOCHEMICALS, INC."	1	299586	SOUTH BEND	IN
"OMM SCIENTIFIC, INC."	1	249997	DALLAS	TX
"OMNEURON, INC."	2	828789	MENLO PARK	CA
"OMNICITY, INC."	1	27614	PROVIDENCE FORGE	VA
"OMNIOX, INC."	1	961000	San Carlos	CA
"ONCOIMMUNE, INC."	1	546203	Rockville	MD
ONCOLOGY-HEMATOLOGY ASSOC-CENTRAL ILL	1	852293	PEORIA	IL
"ONCOSCOPE, INC."	1	912907	DURHAM	NC
"ONCOTIDE PHARMACEUTICALS, INC."	2	449800	RESEARCH TRIANGLE PARK	NC
"ONCOVIR, INC."	1	257382	WASHINGTON	DC
"ONEVAX, LLC"	1	226205	GAINESVILLE	FL
OPERATIONAL TECHNOLOGIES CORPORATION	1	199996	SAN ANTONIO	TX
"OPHYSIO, INC."	1	396237	MIAMI	FL
"OPTIMA NEUROSCIENCE, INC."	1	689414	ALACHUA	FL
"OPTIMUM THERAPEUTICS, LLC"	4	1336756	San Diego	CA
"OPTIVIA BIOTECHNOLOGY, INC."	1	901047	MENLO PARK	CA
"OPTOFLUIDICS, INC."	1	99841	Philadelphia	PA
"OPTOSONICS, INC."	1	626950	ORIENTAL	NC
"ORACLE BIOSCIENCES, LLC"	1	995819	URBANA	IL
"ORAL HEALTH SOLUTIONS, INC."	1	391246	OAKLAND	CA
"ORBIS BIOSCIENCES, INC."	1	567629	KANSAS CITY	KS
"OREGON CENTER FOR APPLIED SCIENCE, INC."	3	688397	EUGENE	OR
OREGON HEALTH & SCIENCE UNIVERSITY	431	190719145	PORTLAND	OR
OREGON LAW CENTER	1	445353	PORTLAND	OR
OREGON MUSEUM OF SCIENCES AND INDUSTRY	2	300490	PORTLAND	OR
OREGON RESEARCH INSTITUTE	34	17310754	EUGENE	OR
"OREGON SOCIAL LEARNING CENTER, INC."	13	6331647	EUGENE	OR
OREGON STATE UNIVERSITY	43	14706571	CORVALLIS	OR
"ORGANIX, INC."	2	569079	WOBURN	MA
ORGANIZATIONAL WELLNESS & LEARNING SYS	1	92021	FORT WORTH	TX
"ORIGENE TECHNOLOGIES, INC."	1	199996	ROCKVILLE	MD
"ORIGINUS, INC."	1	428159	ANN ARBOR	MI
ORPHAGEN PHARMACEUTICALS	1	224474	SAN DIEGO	CA
"ORTHOCARE INNOVATIONS, LLC"	2	1176608	OKLAHOMA CITY	OK
"ORTHOPEUTICS, LP"	1	244897	LEXINGTON	KY
"OSTEOGENEX, INC"	1	475076	Kansas city	KS
"OXFORD BIOMEDICAL RESEARCH, INC."	1	617437	ROCHESTER HILLS	MI
"OYAGEN, INC."	1	468483	ROCHESTER	NY
"OZARK HEALTH VENTURES, LLC"	1	744590	SPRINGFIELD	MO
"P2D, INC."	1	395476	CINCINNATI	OH
PACHYONYCHIA CONGENITA PROJECT	1	12500	SALT LAKE CITY	UT
"PACIFIC BIOSCIENCES OF CALIFORNIA, INC."	1	149176	MENLO PARK	CA
PACIFIC DIABETES TECHNOLOGIES	1	222735	PORTLAND	OR
PACIFIC HEALTH RESEARCH/ EDUCATION INST	2	241373	HONOLULU	HI
PACIFIC INSTITUTE FOR RES AND EVALUATION	25	10449348	BELTSVILLE	MD
PACIFIC NORTHWEST RESEARCH INSTITUTE	5	6912200	SEATTLE	WA
PACIFIC SCIENCE AND ENGINEERING GROUP	1	154800	SAN DIEGO	CA
PACIFIC SCIENCE CENTER	1	249632	SEATTLE	WA
"PAIR TECHNOLOGIES, LLC"	1	139220	NEWARK	DE
PALMER COLLEGE OF CHIROPRACTIC	3	714005	DAVENPORT	IA
"PALO ALTO INSTITUTE FOR RES & EDU, INC."	43	16141630	PALO ALTO	CA
PALO ALTO MEDICAL FOUNDATION RES INST	6	2416766	PALO ALTO	CA
PALO ALTO RESEARCH CENTER	1	388783	PALO ALTO	CA
PALO ALTO UNIVERSITY	1	289459	PALO ALTO	CA
PANGAEA GLOBAL AIDS FOUNDATION	1	451553	OAKLAND	CA
"PANORAMA RESEARCH, INC."	4	1165687	SUNNYVALE	CA
"PANTHERA BIOPHARMA, LLC"	1	1760729	AIEA	HI
PAPA OLA LOKAHI	3	810246	HONOLULU	HI
"PAPIVAX, LLC"	1	288194	SEVERNA PARK	MD
PARABASE GENOMICS	2	480021	ANDOVER	MA
"PARABON COMPUTATION, INC."	1	149980	RESTON	VA
PARATECHS CORP.	3	930875	LEXINGTON	KY
PARATEK PHARMACEUTICALS	1	1	BOSTON	MA
PARENTS AGAINST CANCER	1	124005	TOLUCA LAKE	CA
"PARION SCIENCES, INC."	2	1828432	DURHAM	NC
PARK NICOLLET INSTITUTE	2	2565351	MINNEAPOLIS	MN
PARKINSON'S INSTITUTE	1	80815	SUNNYVALE	CA
"PARTEK, INC."	1	598866	Chesterfield	MO
"PATHENS, INC."	1	300000	Athens	GA
"PATIENT PROVIDER COMMUNICATIONS, INC."	1	603098	ANN ARBOR	MI
"PAUL H. BROOKES PUBLISHING COMPANY, INC."	1	106967	BALTIMORE	MD
"PAX NEUROSCIENCE, INC."	1	344132	GLENVIEW	IL
"PAXVAX, INC."	3	12079618	SAN DIEGO	CA
"PDX PHARMACEUTICALS, LLC"	1	200000	LAKE OSWEGO	OR
PEARSON PHARMA PARTNERS	1	112000	WESTLAKE VILLAGE	CA
PENNSYLVANIA STATE UNIVERSITY	123	56825009	HERSHEY	PA
PENNSYLVANIA STATE UNIVERSITY-UNIV PARK	163	49826547	UNIVERSITY PARK	PA
"PEOPLE DESIGNS, INC."	3	555296	DURHAM	NC
"PERCEPTIMED, INC."	1	261708	MOUNTAIN VIEW	CA
"PERCEPTION RESEARCH SYSTEMS, INC."	2	299581	LAWRENCE	KS
PERITEC BIOSCIENCES	1	415759	Cleveland	OH
"PET/X, LLC"	1	275148	SEATTLE	WA
"PGXL TECHNOLOGIES, LLC"	1	299654	LOUISVILLE	KY
"PHARMABRIDGE, INC."	1	979945	DOYLESTOWN	PA
PHARMAIN CORPORATION	3	1239243	Bothell	WA
"PHARMASEQ, INC."	2	1106247	MONMOUTH JUNCTION	NJ
"PHARMATECH, INC."	1	925328	DENVER	CO
PHDS COMPANY	1	488622	Knoxville	TN
"PHOENICIA BIOSCIENCES, INC."	1	219306	WESTON	MA
"PHOENIX BIOSYSTEM, INC."	3	1355176	PLEASANTON	CA
PHOENIX CHILDREN'S HOSPITAL	1	259482	PHOENIX	AZ
"PHOENIX SCIENCE AND TECHNOLOGY, INC."	1	519049	CHELMSFORD	MA
PHOSPHORTECH	1	460205	LITHIA SPRINGS	GA
"PHOTO DIAGNOSTIC SYSTEMS, INC."	1	150000	BOXBOROUGH	MA
"PHOTOLITEC, LLC"	1	250569	EAST AMHERST	NY
"PHOTOSWITCH BIOSCIENCES, INC."	1	600000	Menlo Park	CA
"PHOTOZIG, INC."	2	974231	MOFFETT FIELD	CA
"PHUSIS THERAPEUTICS, INC."	1	287434	HOUSTON	TX
PHYSICAL OPTICS CORPORATION	1	682804	TORRANCE	CA
"PHYSICAL SCIENCES, INC"	7	3060346	ANDOVER	MA
"PICOCAL, INC."	1	410789	ANN ARBOR	MI
PIERSON BRAIN IMAGE ANALYSIS	1	158938	CORALVILLE	IA
PINE MANOR COLLEGE	1	147973	CHESTNUT HILL	MA
"PINMED, INC."	1	148302	PITTSBURGH	PA
"PINNACLE TECHNOLOGY, INC"	2	798601	LAWRENCE	KS
"PLACES FOR PEOPLE, INC."	1	177408	ST. LOUIS	MO
"PLANET BIOTECHNOLOGY, INC."	4	2285731	HAYWARD	CA
PLANNED PARENTHOOD-WORLD POPULATION	1	51366	NEW YORK	NY
"PLANTVAX, INC."	1	753417	ROCKVILLE	MD
